year,age,education,jobclass,health,health_ins,wage
2005,59,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,81.28325328425272
2004,30,3. Some College,1. Industrial,2. >=Very Good,2. No,118.88435933988579
2007,45,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,163.51586397623814
2007,39,4. College Grad,2. Information,1. <=Good,1. Yes,104.92150653366392
2008,45,4. College Grad,1. Industrial,1. <=Good,2. No,99.68946369848636
2007,43,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,281.74597055185717
2003,30,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,138.29912692088266
2005,57,4. College Grad,2. Information,2. >=Very Good,1. Yes,176.9896504898766
2004,53,4. College Grad,2. Information,1. <=Good,1. Yes,136.87636763518367
2009,42,4. College Grad,2. Information,2. >=Very Good,1. Yes,186.87667762800666
2005,23,2. HS Grad,1. Industrial,1. <=Good,2. No,90.48191335664015
2009,58,2. HS Grad,1. Industrial,1. <=Good,2. No,85.38394037898266
2005,43,1. < HS Grad,1. Industrial,2. >=Very Good,1. Yes,145.14360117691106
2003,33,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,120.58943653040211
2004,56,4. College Grad,2. Information,2. >=Very Good,1. Yes,101.82435207567953
2006,37,4. College Grad,1. Industrial,2. >=Very Good,2. No,108.87452583471249
2009,41,5. Advanced Degree,1. Industrial,2. >=Very Good,2. No,38.6059145209601
2007,33,3. Some College,2. Information,2. >=Very Good,1. Yes,92.89584478949662
2007,50,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,126.32388070978574
2003,43,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,191.57368354841194
2004,53,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,155.90050614676707
2005,37,3. Some College,2. Information,2. >=Very Good,1. Yes,87.98103278560542
2006,20,3. Some College,2. Information,2. >=Very Good,2. No,59.097064081589075
2003,26,3. Some College,1. Industrial,2. >=Very Good,1. Yes,73.77574327469462
2003,29,4. College Grad,2. Information,2. >=Very Good,2. No,90.48191335664015
2008,57,4. College Grad,2. Information,2. >=Very Good,1. Yes,118.88435933988579
2009,47,3. Some College,2. Information,2. >=Very Good,1. Yes,151.59148423981398
2004,54,5. Advanced Degree,1. Industrial,2. >=Very Good,2. No,272.2947832200641
2007,38,1. < HS Grad,1. Industrial,1. <=Good,2. No,97.49329404539341
2006,23,3. Some College,1. Industrial,2. >=Very Good,2. No,68.11199406532704
2004,31,2. HS Grad,2. Information,2. >=Very Good,1. Yes,127.11574381218446
2004,43,4. College Grad,2. Information,2. >=Very Good,1. Yes,272.2947832200641
2003,33,5. Advanced Degree,2. Information,1. <=Good,2. No,111.7208493609888
2004,48,2. HS Grad,1. Industrial,1. <=Good,1. Yes,127.11574381218446
2008,33,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,87.98103278560542
2009,52,4. College Grad,2. Information,2. >=Very Good,1. Yes,114.47571329034717
2008,30,3. Some College,2. Information,2. >=Very Good,2. No,69.79153084544076
2004,44,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,94.07271474570051
2004,38,2. HS Grad,2. Information,2. >=Very Good,1. Yes,127.27334700648598
2008,51,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,160.6424754082633
2007,47,3. Some College,1. Industrial,2. >=Very Good,1. Yes,171.7651326275075
2005,28,4. College Grad,2. Information,1. <=Good,1. Yes,141.7751723331802
2004,52,3. Some College,2. Information,2. >=Very Good,1. Yes,115.37503855639125
2004,23,1. < HS Grad,1. Industrial,1. <=Good,2. No,72.15045568157132
2003,65,1. < HS Grad,1. Industrial,1. <=Good,2. No,73.77574327469462
2005,27,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,127.11574381218446
2004,33,1. < HS Grad,2. Information,2. >=Very Good,2. No,20.934377940101804
2008,49,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,79.85490030934672
2008,27,3. Some College,1. Industrial,1. <=Good,1. Yes,102.87024693321467
2008,48,2. HS Grad,1. Industrial,1. <=Good,1. Yes,115.37503855639125
2005,38,3. Some College,1. Industrial,1. <=Good,1. Yes,97.49329404539341
2008,58,3. Some College,1. Industrial,1. <=Good,2. No,104.92150653366392
2003,40,5. Advanced Degree,1. Industrial,2. >=Very Good,2. No,115.37503855639125
2007,46,2. HS Grad,1. Industrial,2. >=Very Good,2. No,93.48669204295967
2009,53,3. Some College,2. Information,1. <=Good,1. Yes,123.08969984794346
2009,25,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,118.88435933988579
2003,42,3. Some College,2. Information,2. >=Very Good,1. Yes,96.3706528322308
2004,40,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,84.04595765399237
2006,35,2. HS Grad,2. Information,2. >=Very Good,1. Yes,127.11574381218446
2005,50,2. HS Grad,2. Information,1. <=Good,2. No,95.23071256698191
2004,34,3. Some College,1. Industrial,2. >=Very Good,1. Yes,81.28325328425272
2009,48,2. HS Grad,2. Information,2. >=Very Good,1. Yes,102.87024693321467
2004,49,5. Advanced Degree,2. Information,1. <=Good,1. Yes,111.7208493609888
2009,41,4. College Grad,2. Information,2. >=Very Good,2. No,94.07271474570051
2004,37,4. College Grad,2. Information,2. >=Very Good,1. Yes,127.11574381218446
2003,58,3. Some College,2. Information,2. >=Very Good,1. Yes,104.92150653366392
2006,28,2. HS Grad,1. Industrial,1. <=Good,2. No,68.11199406532704
2003,33,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,128.68048822062414
2003,50,3. Some College,1. Industrial,2. >=Very Good,1. Yes,143.92735936582963
2009,38,2. HS Grad,2. Information,2. >=Very Good,1. Yes,103.90247060316008
2003,48,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,91.69922611170422
2008,30,3. Some College,1. Industrial,2. >=Very Good,1. Yes,95.23071256698191
2006,49,5. Advanced Degree,2. Information,2. >=Very Good,2. No,138.29912692088266
2005,44,4. College Grad,2. Information,2. >=Very Good,1. Yes,118.55677641507029
2009,50,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,94.07271474570051
2009,58,4. College Grad,2. Information,1. <=Good,1. Yes,114.47571329034717
2004,45,4. College Grad,2. Information,2. >=Very Good,1. Yes,150.01328628271014
2005,44,3. Some College,2. Information,2. >=Very Good,2. No,97.49329404539341
2005,35,4. College Grad,2. Information,1. <=Good,2. No,90.48191335664015
2005,59,2. HS Grad,2. Information,2. >=Very Good,2. No,81.28325328425272
2009,45,2. HS Grad,2. Information,2. >=Very Good,2. No,130.98217737746066
2004,51,4. College Grad,1. Industrial,1. <=Good,1. Yes,150.96278346214268
2006,61,3. Some College,2. Information,2. >=Very Good,2. No,130.98217737746066
2008,45,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,145.14360117691106
2003,34,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,90.48191335664015
2007,33,4. College Grad,2. Information,1. <=Good,2. No,113.56708956975103
2005,45,2. HS Grad,2. Information,1. <=Good,1. Yes,87.98103278560542
2009,50,5. Advanced Degree,2. Information,1. <=Good,1. Yes,157.70052772573715
2006,50,2. HS Grad,2. Information,2. >=Very Good,1. Yes,109.83398564219921
2005,39,3. Some College,2. Information,1. <=Good,2. No,84.04595765399237
2009,26,4. College Grad,2. Information,2. >=Very Good,1. Yes,160.64363817179108
2007,49,2. HS Grad,1. Industrial,1. <=Good,2. No,47.90556703702709
2003,20,2. HS Grad,1. Industrial,2. >=Very Good,2. No,59.097064081589075
2003,31,4. College Grad,1. Industrial,2. >=Very Good,2. No,81.28325328425272
2007,49,2. HS Grad,2. Information,1. <=Good,1. Yes,87.98103278560542
2007,56,2. HS Grad,1. Industrial,1. <=Good,1. Yes,87.98103278560542
2005,61,4. College Grad,2. Information,2. >=Very Good,1. Yes,143.80855682436928
2005,56,2. HS Grad,2. Information,1. <=Good,1. Yes,110.7826502762544
2009,51,4. College Grad,2. Information,2. >=Very Good,2. No,118.88435933988579
2004,42,1. < HS Grad,1. Industrial,2. >=Very Good,1. Yes,120.58943653040211
2004,45,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,272.2947832200641
2006,30,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,105.37589266027132
2005,48,4. College Grad,2. Information,1. <=Good,2. No,69.01087662208852
2009,33,5. Advanced Degree,1. Industrial,1. <=Good,1. Yes,87.98103278560542
2007,50,3. Some College,2. Information,2. >=Very Good,1. Yes,89.2428846644714
2003,31,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,171.7651326275075
2003,48,4. College Grad,1. Industrial,1. <=Good,1. Yes,133.2323508265668
2005,35,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,200.543262324662
2009,47,3. Some College,1. Industrial,2. >=Very Good,1. Yes,92.89584478949662
2007,45,4. College Grad,1. Industrial,1. <=Good,1. Yes,148.4131591025766
2009,52,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,119.74255628990784
2007,46,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,82.6796372966372
2007,47,4. College Grad,2. Information,2. >=Very Good,2. No,105.92781077506274
2009,49,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,267.90108685527514
2007,36,1. < HS Grad,1. Industrial,1. <=Good,2. No,104.92150653366392
2005,51,4. College Grad,1. Industrial,1. <=Good,2. No,127.11574381218446
2008,46,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,157.70052772573715
2004,37,4. College Grad,2. Information,2. >=Very Good,2. No,148.4131591025766
2005,23,3. Some College,1. Industrial,2. >=Very Good,1. Yes,65.1108537153447
2008,43,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,104.92150653366392
2006,34,4. College Grad,2. Information,2. >=Very Good,1. Yes,78.39246680098368
2008,58,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,139.21378813866397
2009,44,4. College Grad,2. Information,2. >=Very Good,1. Yes,112.64889634210017
2008,61,4. College Grad,2. Information,2. >=Very Good,2. No,79.85490030934672
2005,40,1. < HS Grad,1. Industrial,2. >=Very Good,2. No,65.1108537153447
2003,37,3. Some College,2. Information,2. >=Very Good,1. Yes,111.7208493609888
2003,33,2. HS Grad,2. Information,2. >=Very Good,2. No,104.92150653366392
2004,38,3. Some College,2. Information,2. >=Very Good,1. Yes,176.9896504898766
2006,41,2. HS Grad,2. Information,1. <=Good,1. Yes,99.68946369848636
2005,30,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,104.92150653366392
2003,51,1. < HS Grad,1. Industrial,1. <=Good,1. Yes,70.81503861675567
2003,39,3. Some College,1. Industrial,2. >=Very Good,1. Yes,94.07271474570051
2006,56,3. Some College,2. Information,2. >=Very Good,1. Yes,127.11574381218446
2007,44,2. HS Grad,1. Industrial,1. <=Good,2. No,97.49329404539341
2005,51,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,109.83398564219921
2006,35,2. HS Grad,1. Industrial,2. >=Very Good,2. No,75.1996281485946
2009,27,2. HS Grad,1. Industrial,1. <=Good,2. No,65.1108537153447
2003,47,3. Some College,1. Industrial,1. <=Good,1. Yes,146.46283851506294
2007,51,3. Some College,2. Information,1. <=Good,2. No,81.28325328425272
2006,41,2. HS Grad,1. Industrial,2. >=Very Good,2. No,127.11574381218446
2005,63,1. < HS Grad,1. Industrial,1. <=Good,2. No,73.77574327469462
2009,61,2. HS Grad,2. Information,1. <=Good,2. No,65.1108537153447
2004,46,2. HS Grad,1. Industrial,1. <=Good,1. Yes,99.68946369848636
2009,33,3. Some College,1. Industrial,2. >=Very Good,2. No,79.85490030934672
2009,35,1. < HS Grad,2. Information,1. <=Good,2. No,73.77574327469462
2003,28,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,87.98103278560542
2007,50,3. Some College,1. Industrial,2. >=Very Good,2. No,118.88435933988579
2007,41,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,284.5247409022144
2008,23,4. College Grad,1. Industrial,1. <=Good,2. No,118.88435933988579
2004,45,3. Some College,2. Information,2. >=Very Good,1. Yes,106.92181409121146
2007,63,5. Advanced Degree,1. Industrial,2. >=Very Good,1. Yes,100.01348692470579
2006,59,3. Some College,2. Information,1. <=Good,1. Yes,108.87452583471249
2005,30,4. College Grad,2. Information,2. >=Very Good,1. Yes,114.47571329034717
2003,30,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,115.37503855639125
2007,45,2. HS Grad,1. Industrial,1. <=Good,2. No,130.98217737746066
2005,42,2. HS Grad,1. Industrial,1. <=Good,1. Yes,79.85490030934672
2009,57,1. < HS Grad,1. Industrial,2. >=Very Good,1. Yes,106.92181409121146
2003,52,3. Some College,1. Industrial,1. <=Good,2. No,22.962400679642943
2003,54,3. Some College,2. Information,2. >=Very Good,1. Yes,115.18245512658058
2005,30,3. Some College,2. Information,2. >=Very Good,1. Yes,103.90247060316008
2003,47,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,184.46946422249854
2003,38,3. Some College,2. Information,2. >=Very Good,1. Yes,314.32933644528964
2003,47,3. Some College,2. Information,1. <=Good,1. Yes,99.68946369848636
2008,39,4. College Grad,1. Industrial,1. <=Good,1. Yes,128.68048822062414
2005,50,2. HS Grad,1. Industrial,2. >=Very Good,2. No,87.98103278560542
2003,47,2. HS Grad,1. Industrial,2. >=Very Good,2. No,54.598150033144236
2004,45,2. HS Grad,1. Industrial,1. <=Good,1. Yes,99.68946369848636
2007,44,1. < HS Grad,2. Information,2. >=Very Good,1. Yes,118.88435933988579
2003,52,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,92.16112203234957
2004,42,4. College Grad,1. Industrial,1. <=Good,2. No,127.11574381218446
2004,18,1. < HS Grad,1. Industrial,2. >=Very Good,2. No,41.70499049933954
2006,56,4. College Grad,2. Information,2. >=Very Good,1. Yes,109.83398564219921
2004,50,5. Advanced Degree,2. Information,2. >=Very Good,2. No,82.6796372966372
2006,50,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,277.7994802056496
2006,53,3. Some College,2. Information,1. <=Good,2. No,99.68946369848636
2009,38,5. Advanced Degree,1. Industrial,2. >=Very Good,1. Yes,176.9896504898766
2004,27,1. < HS Grad,2. Information,2. >=Very Good,2. No,84.04595765399237
2004,56,5. Advanced Degree,2. Information,2. >=Very Good,2. No,163.51586397623814
2003,50,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,81.28325328425272
2003,56,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,130.98217737746066
2007,50,1. < HS Grad,1. Industrial,1. <=Good,2. No,127.11574381218446
2005,49,2. HS Grad,2. Information,2. >=Very Good,2. No,72.15045568157132
2005,42,3. Some College,1. Industrial,2. >=Very Good,2. No,104.92150653366392
2009,50,5. Advanced Degree,1. Industrial,1. <=Good,1. Yes,186.87667762800666
2003,53,4. College Grad,2. Information,2. >=Very Good,1. Yes,176.9896504898766
2007,28,2. HS Grad,1. Industrial,1. <=Good,2. No,139.70307152765756
2003,45,2. HS Grad,1. Industrial,1. <=Good,1. Yes,73.77574327469462
2009,24,2. HS Grad,2. Information,2. >=Very Good,2. No,66.2294082943902
2003,25,1. < HS Grad,1. Industrial,2. >=Very Good,2. No,81.28325328425272
2004,38,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,104.92150653366392
2009,47,4. College Grad,1. Industrial,1. <=Good,1. Yes,109.83398564219921
2003,38,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,154.68529299563002
2007,33,3. Some College,2. Information,2. >=Very Good,2. No,106.92181409121146
2006,39,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,277.7994802056496
2005,52,2. HS Grad,1. Industrial,1. <=Good,1. Yes,87.98103278560542
2005,46,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,90.48191335664015
2004,42,2. HS Grad,2. Information,2. >=Very Good,1. Yes,106.92181409121146
2003,61,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,56.90553914467319
2005,32,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,81.28325328425272
2009,42,2. HS Grad,2. Information,2. >=Very Good,1. Yes,107.90392386687648
2006,61,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,196.12527259425497
2009,27,2. HS Grad,1. Industrial,2. >=Very Good,2. No,91.69922611170422
2008,45,5. Advanced Degree,1. Industrial,1. <=Good,1. Yes,200.543262324662
2003,58,4. College Grad,2. Information,2. >=Very Good,2. No,32.36641317485487
2007,25,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,104.92150653366392
2007,34,1. < HS Grad,1. Industrial,2. >=Very Good,2. No,100.76427284210669
2005,44,3. Some College,2. Information,1. <=Good,1. Yes,85.38394037898266
2007,40,3. Some College,2. Information,2. >=Very Good,2. No,82.6796372966372
2007,51,4. College Grad,1. Industrial,2. >=Very Good,2. No,97.49329404539341
2003,50,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,121.01082656575541
2009,64,4. College Grad,2. Information,1. <=Good,1. Yes,133.97150007069519
2003,54,3. Some College,1. Industrial,2. >=Very Good,1. Yes,148.4131591025766
2008,42,4. College Grad,2. Information,2. >=Very Good,1. Yes,104.92150653366392
2007,31,2. HS Grad,1. Industrial,1. <=Good,2. No,81.28325328425272
2003,25,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,90.48191335664015
2006,32,3. Some College,1. Industrial,2. >=Very Good,1. Yes,106.92181409121146
2007,51,1. < HS Grad,2. Information,1. <=Good,1. Yes,114.47571329034717
2007,75,1. < HS Grad,2. Information,1. <=Good,2. No,53.39534689057271
2003,28,2. HS Grad,1. Industrial,2. >=Very Good,2. No,87.98103278560542
2009,28,2. HS Grad,1. Industrial,2. >=Very Good,2. No,66.2294082943902
2007,32,5. Advanced Degree,1. Industrial,1. <=Good,1. Yes,96.3706528322308
2006,53,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,272.4032257555857
2008,36,3. Some College,1. Industrial,1. <=Good,2. No,97.15827504365028
2004,43,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,200.543262324662
2004,51,4. College Grad,1. Industrial,1. <=Good,1. Yes,123.08969984794346
2005,35,4. College Grad,2. Information,2. >=Very Good,1. Yes,99.68946369848636
2004,46,2. HS Grad,1. Industrial,2. >=Very Good,2. No,94.07271474570051
2003,38,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,81.28325328425272
2004,43,4. College Grad,2. Information,2. >=Very Good,2. No,154.68529299563002
2004,39,2. HS Grad,1. Industrial,2. >=Very Good,2. No,109.83398564219921
2007,37,3. Some College,1. Industrial,2. >=Very Good,1. Yes,123.08969984794346
2008,59,5. Advanced Degree,2. Information,1. <=Good,1. Yes,73.77574327469462
2003,33,4. College Grad,1. Industrial,1. <=Good,2. No,107.90392386687648
2007,23,3. Some College,1. Industrial,2. >=Very Good,2. No,73.77574327469462
2006,37,3. Some College,1. Industrial,2. >=Very Good,2. No,87.98103278560542
2005,40,2. HS Grad,1. Industrial,1. <=Good,2. No,27.14057920790244
2006,25,3. Some College,2. Information,2. >=Very Good,1. Yes,94.07271474570051
2008,27,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,102.45355757837184
2004,47,5. Advanced Degree,2. Information,1. <=Good,1. Yes,272.2947832200641
2008,52,4. College Grad,1. Industrial,2. >=Very Good,2. No,94.07271474570051
2007,23,2. HS Grad,2. Information,2. >=Very Good,2. No,81.28325328425272
2004,33,4. College Grad,2. Information,1. <=Good,2. No,87.98103278560542
2005,37,4. College Grad,2. Information,1. <=Good,1. Yes,109.83398564219921
2008,34,2. HS Grad,1. Industrial,1. <=Good,2. No,80.43020794582075
2003,51,2. HS Grad,1. Industrial,1. <=Good,1. Yes,148.4131591025766
2007,40,3. Some College,1. Industrial,2. >=Very Good,1. Yes,148.4131591025766
2007,50,2. HS Grad,2. Information,1. <=Good,1. Yes,81.28325328425272
2005,64,3. Some College,1. Industrial,2. >=Very Good,1. Yes,118.88435933988579
2008,54,1. < HS Grad,1. Industrial,1. <=Good,1. Yes,80.48744435951097
2003,50,2. HS Grad,2. Information,2. >=Very Good,1. Yes,91.69922611170422
2004,32,4. College Grad,2. Information,2. >=Very Good,1. Yes,109.35562640025326
2004,37,4. College Grad,2. Information,1. <=Good,1. Yes,104.92150653366392
2006,19,1. < HS Grad,1. Industrial,2. >=Very Good,2. No,65.1108537153447
